,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rainfall,Snowfall,Country,Date
121,Faya,18.39,42.45,62.6,93,62,2.06,broken clouds,0.0,0.0,SA,2020-05-06 03:12:21
122,Vysokogornyy,50.12,139.15,49.5,45,73,8.19,broken clouds,0.0,0.0,RU,2020-05-06 03:12:21
123,Kapaa,22.08,-159.32,80.6,65,1,12.75,clear sky,0.0,0.0,US,2020-05-06 03:10:55
124,Suining,30.51,105.57,83.84,56,92,7.14,overcast clouds,0.0,0.0,CN,2020-05-06 03:12:22
125,Abu Kamal,34.45,40.92,55.8,80,100,16.08,heavy intensity rain,4.37,0.0,SY,2020-05-06 03:12:22
126,Madras,13.09,80.28,86.0,79,20,6.93,mist,0.0,0.0,IN,2020-05-06 03:09:29
127,Grand Gaube,-20.01,57.66,73.99,87,11,1.99,few clouds,0.0,0.0,MU,2020-05-06 03:12:22
128,Nanortalik,60.14,-45.24,40.42,74,100,11.45,overcast clouds,0.0,0.0,GL,2020-05-06 03:12:23
129,Cabo San Lucas,22.89,-109.91,80.6,39,5,3.36,clear sky,0.0,0.0,MX,2020-05-06 03:11:44
130,Seoul,37.57,126.98,71.6,43,1,4.7,clear sky,0.0,0.0,KR,2020-05-06 03:10:08
131,Port-Gentil,-0.72,8.78,80.83,86,13,9.01,few clouds,0.0,0.0,GA,2020-05-06 03:12:23
132,Ostrovnoy,68.05,39.51,34.5,87,5,20.24,clear sky,0.0,0.0,RU,2020-05-06 03:12:24
133,Milkovo,54.72,158.62,36.59,94,100,7.25,overcast clouds,0.0,0.0,RU,2020-05-06 03:12:24
134,Dubbo,-32.25,148.62,68.0,56,0,2.24,clear sky,0.0,0.0,AU,2020-05-06 03:12:24
135,Bulawayo,-20.15,28.58,51.44,64,0,7.36,clear sky,0.0,0.0,ZW,2020-05-06 03:12:25
136,Takoradi,4.88,-1.76,80.65,87,0,5.99,clear sky,0.0,0.0,GH,2020-05-06 03:12:25
137,Amga,60.9,131.96,48.52,51,38,3.4,scattered clouds,0.0,0.0,RU,2020-05-06 03:12:25
138,San Patricio,19.22,-104.7,73.33,81,0,3.2,clear sky,0.0,0.0,MX,2020-05-06 03:12:26
139,Port Alfred,-33.59,26.89,62.01,86,20,5.01,few clouds,0.0,0.0,ZA,2020-05-06 03:12:26
140,Port Blair,11.67,92.75,86.85,66,82,5.95,broken clouds,0.0,0.0,IN,2020-05-06 03:12:27
141,Longyearbyen,78.22,15.64,30.2,68,40,24.16,scattered clouds,0.0,0.0,SJ,2020-05-06 03:12:27
142,East London,-33.02,27.91,64.4,57,11,11.56,few clouds,0.0,0.0,ZA,2020-05-06 03:12:28
143,Severo-Kurilsk,50.68,156.12,33.71,91,100,28.27,overcast clouds,0.0,0.0,RU,2020-05-06 03:12:28
144,Sao Jose Da Coroa Grande,-8.9,-35.15,79.03,82,33,9.24,scattered clouds,0.0,0.0,BR,2020-05-06 03:12:28
145,Vao,-22.67,167.48,71.65,73,100,26.33,overcast clouds,0.0,0.0,NC,2020-05-06 03:12:29
146,Uyuni,-20.46,-66.83,46.29,47,0,9.44,clear sky,0.0,0.0,BO,2020-05-06 03:12:29
147,Kholodnyy,62.72,147.95,27.93,89,74,12.48,broken clouds,0.0,0.0,RU,2020-05-06 03:12:29
148,Obo,5.4,26.49,68.61,95,100,3.09,overcast clouds,0.0,0.0,CF,2020-05-06 03:12:29
149,Stornoway,58.21,-6.39,35.6,93,19,1.63,few clouds,0.0,0.0,GB,2020-05-06 03:12:30
150,Karratha,-20.74,116.85,86.38,30,9,4.21,clear sky,0.0,0.0,AU,2020-05-06 03:12:30
151,Port Hardy,50.7,-127.42,60.8,41,75,12.75,broken clouds,0.0,0.0,CA,2020-05-06 03:12:30
152,Palmares Do Sul,-30.26,-50.51,63.61,74,100,18.86,overcast clouds,0.0,0.0,BR,2020-05-06 03:12:31
153,Acapulco,16.86,-99.89,77.0,94,20,5.82,few clouds,0.0,0.0,MX,2020-05-06 03:12:31
154,Camacha,33.08,-16.33,62.6,82,98,3.85,overcast clouds,0.0,0.0,PT,2020-05-06 03:12:31
155,Saint-Pierre,-21.34,55.48,71.6,78,38,4.7,scattered clouds,0.0,0.0,RE,2020-05-06 03:12:31
156,Pingliang,35.54,106.69,62.62,70,100,8.39,overcast clouds,0.0,0.0,CN,2020-05-06 03:12:32
157,Arman,59.7,150.17,39.79,66,100,22.21,overcast clouds,0.0,0.0,RU,2020-05-06 03:12:32
158,Tokmak,47.25,35.71,54.45,93,48,5.86,scattered clouds,0.0,0.0,UA,2020-05-06 03:12:32
159,Shepsi,44.04,39.15,57.83,90,98,4.79,overcast clouds,0.0,0.0,RU,2020-05-06 03:12:33
160,Ust-Kuyga,70.02,135.6,30.24,95,63,4.27,broken clouds,0.0,0.0,RU,2020-05-06 03:12:34
161,Trairi,-3.28,-39.27,76.71,92,26,7.76,scattered clouds,0.0,0.0,BR,2020-05-06 03:08:04
162,Bull Savanna,17.89,-77.59,76.3,86,100,7.76,overcast clouds,0.0,0.0,JM,2020-05-06 03:12:34
163,Beloha,-25.17,45.05,63.28,94,25,6.44,scattered clouds,0.0,0.0,MG,2020-05-06 03:12:35
164,Inuvik,68.35,-133.72,32.0,99,90,8.05,light snow,0.0,0.0,CA,2020-05-06 03:12:35
165,Kalmunai,7.42,81.82,86.2,70,38,4.7,scattered clouds,0.0,0.0,LK,2020-05-06 03:12:35
166,Orda,57.2,56.91,55.85,65,66,10.74,broken clouds,0.0,0.0,RU,2020-05-06 03:12:35
167,Lavrentiya,65.58,-171.0,30.96,93,0,2.39,clear sky,0.0,0.0,RU,2020-05-06 03:12:36
168,Fortuna,40.6,-124.16,55.99,87,1,8.05,clear sky,0.0,0.0,US,2020-05-06 03:12:36
169,Benguela,-12.58,13.41,78.64,82,39,1.34,scattered clouds,0.0,0.0,AO,2020-05-06 03:12:37
170,Port Lincoln,-34.73,135.87,69.82,30,97,21.9,overcast clouds,0.0,0.0,AU,2020-05-06 03:12:37
171,Lincoln,40.8,-96.67,55.4,50,1,13.87,clear sky,0.0,0.0,US,2020-05-06 03:12:38
172,Touros,-5.2,-35.46,77.0,94,40,3.36,scattered clouds,0.0,0.0,BR,2020-05-06 03:12:38
173,Yuncheng,35.02,110.99,76.87,36,0,24.43,clear sky,0.0,0.0,CN,2020-05-06 03:12:38
174,Guerrero Negro,27.98,-114.06,68.7,68,0,16.13,clear sky,0.0,0.0,MX,2020-05-06 03:12:38
175,La Trinidad,16.45,120.59,79.75,66,26,5.01,scattered clouds,0.0,0.0,PH,2020-05-06 03:12:39
176,Tiksi,71.69,128.87,24.15,97,100,8.39,light snow,0.0,0.37,RU,2020-05-06 03:12:39
177,Waingapu,-9.66,120.26,86.81,64,94,11.07,overcast clouds,0.0,0.0,ID,2020-05-06 03:12:39
178,Vestmannaeyjar,63.44,-20.27,44.24,85,100,10.71,overcast clouds,0.0,0.0,IS,2020-05-06 03:12:40
179,Pevek,69.7,170.31,25.45,88,92,2.93,overcast clouds,0.0,0.0,RU,2020-05-06 03:12:40
180,Polson,47.69,-114.16,54.0,67,80,5.99,light rain,0.56,0.0,US,2020-05-06 03:12:41
181,Fort Frances,48.6,-93.4,48.2,39,1,5.82,clear sky,0.0,0.0,CA,2020-05-06 03:12:41
182,Paamiut,61.99,-49.67,35.17,97,100,9.98,light rain,0.44,0.0,GL,2020-05-06 03:12:42
183,Esperance,-33.87,121.9,57.2,54,75,31.09,broken clouds,0.0,0.0,AU,2020-05-06 03:12:42
184,Baykit,61.67,96.37,41.36,67,76,8.48,broken clouds,0.0,0.0,RU,2020-05-06 03:12:42
185,Port Elizabeth,-33.92,25.57,62.6,82,26,11.41,scattered clouds,0.0,0.0,ZA,2020-05-06 03:12:42
186,Lang Son,21.83,106.73,89.24,56,85,9.19,overcast clouds,0.0,0.0,VN,2020-05-06 03:12:43
187,Kahului,20.89,-156.47,84.2,42,40,20.8,scattered clouds,0.0,0.0,US,2020-05-06 03:12:43
188,Belyy Yar,53.6,91.39,48.2,49,97,13.42,overcast clouds,0.0,0.0,RU,2020-05-06 03:12:43
189,Yeppoon,-23.13,150.73,78.8,44,18,17.22,few clouds,0.0,0.0,AU,2020-05-06 03:12:43
190,Wuwei,37.93,102.64,59.31,44,100,6.96,overcast clouds,0.0,0.0,CN,2020-05-06 03:12:44
191,Judenburg,47.17,14.67,43.0,90,23,4.0,few clouds,0.0,0.0,AT,2020-05-06 03:12:44
192,Provideniya,64.38,-173.3,32.0,77,0,6.71,clear sky,0.0,0.0,RU,2020-05-06 03:12:44
193,Caborca,30.58,-111.1,86.0,15,0,4.0,clear sky,0.0,0.0,MX,2020-05-06 03:12:44
194,Mapimi,25.82,-103.85,86.0,28,75,32.21,dust,0.0,0.0,MX,2020-05-06 03:12:45
195,Aanekoski,62.69,25.82,28.4,92,100,1.12,overcast clouds,0.0,0.0,FI,2020-05-06 03:12:45
196,Manzhouli,49.6,117.43,57.85,34,100,15.52,overcast clouds,0.0,0.0,CN,2020-05-06 03:12:45
197,Nikolskoye,59.7,30.79,44.01,86,10,4.47,clear sky,0.0,0.0,RU,2020-05-06 03:12:46
198,Libreville,0.39,9.45,78.8,100,40,1.12,thunderstorm,0.0,0.0,GA,2020-05-06 03:08:03
199,Kavieng,-2.57,150.8,83.95,75,99,5.48,light rain,0.15,0.0,PG,2020-05-06 03:12:46
200,Weligama,5.97,80.42,85.19,74,33,7.67,scattered clouds,0.0,0.0,LK,2020-05-06 03:11:24
201,Cidreira,-30.18,-50.21,64.45,79,100,18.3,overcast clouds,0.0,0.0,BR,2020-05-06 03:11:05
202,Isangel,-19.55,169.27,71.6,94,90,6.93,moderate rain,0.0,0.0,VU,2020-05-06 03:12:47
203,Novopokrovka,49.84,36.55,53.29,95,33,8.08,scattered clouds,0.0,0.0,UA,2020-05-06 03:12:47
204,Wadi Maliz,36.47,8.55,62.6,77,20,2.24,few clouds,0.0,0.0,TN,2020-05-06 03:12:48
205,Kontagora,10.4,5.47,82.38,53,1,2.42,clear sky,0.0,0.0,NG,2020-05-06 03:12:48
206,Bamberg,49.88,10.89,39.99,64,77,2.66,broken clouds,0.0,0.0,DE,2020-05-06 03:08:11
207,Bathsheba,13.22,-59.52,80.6,78,40,23.04,scattered clouds,0.0,0.0,BB,2020-05-06 03:12:48
208,Vardo,70.37,31.11,39.2,64,75,11.41,broken clouds,0.0,0.0,NO,2020-05-06 03:12:49
209,Astana,51.18,71.45,53.01,48,0,6.71,clear sky,0.0,0.0,KZ,2020-05-06 03:12:49
210,Santa Isabel Do Rio Negro,-0.41,-65.02,73.76,98,100,1.39,overcast clouds,0.0,0.0,BR,2020-05-06 03:12:49
211,Leh,34.17,77.58,37.87,65,47,4.81,light snow,0.0,0.13,IN,2020-05-06 03:12:49
212,Nome,64.5,-165.41,44.6,45,1,5.82,clear sky,0.0,0.0,US,2020-05-06 03:12:50
213,Iranshahr,27.2,60.68,77.0,22,0,6.93,clear sky,0.0,0.0,IR,2020-05-06 03:12:50
214,Suzhou,31.31,120.62,75.0,62,100,4.7,overcast clouds,0.0,0.0,CN,2020-05-06 03:10:14
215,Liverpool,53.41,-2.98,43.0,81,0,5.82,clear sky,0.0,0.0,GB,2020-05-06 03:12:20
216,Shama,33.61,104.29,72.05,45,24,5.37,few clouds,0.0,0.0,CN,2020-05-06 03:12:51
217,Nieuw Amsterdam,5.88,-55.08,81.0,90,100,1.99,overcast clouds,0.0,0.0,SR,2020-05-06 03:12:51
218,Colomi,-17.35,-65.87,62.6,45,20,3.36,few clouds,0.0,0.0,BO,2020-05-06 03:12:52
219,Sao Filipe,14.9,-24.5,74.14,75,2,6.38,clear sky,0.0,0.0,CV,2020-05-06 03:12:52
220,Mashhad,36.3,59.61,64.4,68,8,4.7,clear sky,0.0,0.0,IR,2020-05-06 03:12:18
221,Polis,35.04,32.43,59.0,87,90,3.36,overcast clouds,0.0,0.0,CY,2020-05-06 03:12:52
222,Te Anau,-45.42,167.72,55.49,61,71,5.95,broken clouds,0.0,0.0,NZ,2020-05-06 03:12:53
223,Tateyama,34.98,139.87,66.99,82,75,10.29,broken clouds,0.0,0.0,JP,2020-05-06 03:12:53
224,Belle Fourche,44.67,-103.85,44.01,62,20,6.93,few clouds,0.0,0.0,US,2020-05-06 03:11:48
225,Kamenka,51.32,42.77,57.0,95,94,11.9,overcast clouds,0.0,0.0,RU,2020-05-06 03:12:54
226,Wahiawa,21.5,-158.02,84.2,51,20,8.05,few clouds,0.0,0.0,US,2020-05-06 03:11:20
227,Sinazongwe,-17.26,27.46,66.88,55,0,1.86,clear sky,0.0,0.0,ZM,2020-05-06 03:12:55
228,Saint Anthony,45.02,-93.22,55.0,34,90,2.35,overcast clouds,0.0,0.0,US,2020-05-06 03:12:55
229,Iqaluit,63.75,-68.51,10.4,72,5,2.24,clear sky,0.0,0.0,CA,2020-05-06 03:12:55
230,Kaeo,-35.1,173.78,61.0,51,5,11.01,clear sky,0.0,0.0,NZ,2020-05-06 03:12:55
231,Ponta Do Sol,32.67,-17.1,62.6,82,20,3.36,few clouds,0.0,0.0,PT,2020-05-06 03:12:56
232,Praia Da Vitoria,38.73,-27.07,60.8,82,75,8.25,broken clouds,0.0,0.0,PT,2020-05-06 03:12:56
233,Markivka,49.52,39.57,56.07,88,54,4.85,broken clouds,0.0,0.0,UA,2020-05-06 03:12:56
234,Komsomolskiy,40.43,71.72,62.6,67,100,3.2,overcast clouds,0.0,0.0,UZ,2020-05-06 03:12:56
