City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
92,Bredasdorp,-34.53,20.04,59.0,93,61,1.95,ZA,2020-05-06 00:25:24
93,Zonguldak,41.25,31.83,45.66,93,66,4.32,TR,2020-05-06 00:25:24
94,Ilulissat,69.22,-51.1,28.4,63,0,11.41,GL,2020-05-06 00:22:43
95,Cherskiy,68.75,161.3,29.53,93,61,3.8,RU,2020-05-06 00:25:24
96,Alenquer,-1.94,-54.74,80.6,94,40,4.7,BR,2020-05-06 00:25:24
97,Nizwa,22.93,57.53,82.11,41,6,4.07,OM,2020-05-06 00:25:24
98,Dicabisagan,17.08,122.42,85.93,69,2,8.3,PH,2020-05-06 00:25:25
99,Southbridge,42.08,-72.03,54.0,35,69,3.91,US,2020-05-06 00:25:25
100,Torbay,47.67,-52.73,39.99,100,90,20.8,CA,2020-05-06 00:25:25
101,Gat,31.61,34.76,63.0,79,4,13.6,IL,2020-05-06 00:25:25
102,Innisfail,-17.53,146.03,72.79,83,86,12.17,AU,2020-05-06 00:25:25
103,Voskresenskoye,56.84,45.43,53.24,71,1,7.76,RU,2020-05-06 00:25:25
104,Truth Or Consequences,33.13,-107.25,84.99,18,1,20.8,US,2020-05-06 00:25:26
105,Port-Gentil,-0.72,8.78,82.4,88,20,4.7,GA,2020-05-06 00:25:26
106,Nome,64.5,-165.41,46.0,60,1,5.82,US,2020-05-06 00:21:29
107,Arman,59.7,150.17,37.9,70,100,19.91,RU,2020-05-06 00:23:10
108,Marawi,8.0,124.29,82.99,82,55,4.0,PH,2020-05-06 00:25:26
109,Grindavik,63.84,-22.43,42.8,81,75,10.29,IS,2020-05-06 00:22:19
110,Tuktoyaktuk,69.45,-133.04,30.2,80,90,3.36,CA,2020-05-06 00:25:26
111,Jeremie,18.65,-74.12,80.76,74,42,3.42,HT,2020-05-06 00:25:27
112,La Asuncion,11.03,-63.86,89.6,66,46,23.04,VE,2020-05-06 00:25:27
113,Luderitz,-26.65,15.16,73.83,27,0,6.46,NA,2020-05-06 00:25:27
114,Guaraniacu,-25.1,-52.88,60.37,90,99,0.63,BR,2020-05-06 00:25:27
115,Saskylakh,71.92,114.08,1.63,92,67,9.1,RU,2020-05-06 00:25:27
116,Mount Gambier,-37.83,140.77,55.4,66,100,13.87,AU,2020-05-06 00:25:27
117,Hithadhoo,-0.6,73.08,83.98,74,100,7.83,MV,2020-05-06 00:25:27
118,Bluff,-46.6,168.33,53.58,78,97,23.96,NZ,2020-05-06 00:21:10
119,Qaanaaq,77.48,-69.36,14.34,85,97,4.83,GL,2020-05-06 00:25:28
120,Lasa,46.62,10.7,44.6,100,90,8.05,IT,2020-05-06 00:23:07
121,Sukpak,51.67,94.63,40.33,65,20,8.97,RU,2020-05-06 00:25:28
122,Kathmandu,27.72,85.32,57.2,100,20,3.49,NP,2020-05-06 00:25:28
123,Okhotsk,59.38,143.3,37.27,77,19,13.02,RU,2020-05-06 00:25:28
124,Leningradskiy,69.38,178.42,22.37,93,5,8.84,RU,2020-05-06 00:20:40
125,Duvan,55.7,57.9,50.65,72,0,3.8,RU,2020-05-06 00:25:28
126,Opuwo,-18.06,13.84,65.95,42,4,6.04,NA,2020-05-06 00:21:37
127,Buraydah,26.33,43.98,77.0,73,10,10.29,SA,2020-05-06 00:22:32
128,Te Anau,-45.42,167.72,53.89,66,52,1.99,NZ,2020-05-06 00:25:29
129,Kolyvan,55.31,82.74,41.0,75,83,8.95,RU,2020-05-06 00:25:29
130,Vuktyl,63.86,57.31,36.68,96,78,2.53,RU,2020-05-06 00:25:29
131,Provideniya,64.38,-173.3,32.0,75,46,8.95,RU,2020-05-06 00:25:30
132,Jalu,29.03,21.55,63.25,45,0,10.4,LY,2020-05-06 00:25:30
133,Half Moon Bay,37.46,-122.43,73.0,49,5,13.87,US,2020-05-06 00:25:30
134,High Level,58.52,-117.14,64.4,31,75,6.93,CA,2020-05-06 00:25:30
135,Ixtapa,20.7,-105.2,80.6,74,5,9.17,MX,2020-05-06 00:22:00
136,Malampaka,-3.13,33.53,64.06,90,13,6.46,TZ,2020-05-06 00:25:30
137,Natal,-5.79,-35.21,77.0,100,40,4.7,BR,2020-05-06 00:25:31
